id,name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1752812,Ying Zhang,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3,3,4,2,4,2,3,0,9,5
4564363,Y Wang,1,0,1,2,2,2,1,0,0,1,2,0,0,1,2,0,0,1,3,4,3,2,2,5,4,2
1777582,J Liu,0,1,0,0,0,0,1,2,0,1,0,0,0,2,1,3,1,4,2,1,2,4,1,1,1,1
2258758,Ying Wang,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,4,6,6,7
3530888,Jr,0,0,0,0,0,0,0,2,1,0,1,3,1,3,3,1,2,2,1,2,1,4,2,0,2,0
2660799,Daron Acemoglu,0,0,0,0,0,0,0,0,1,1,1,3,3,0,3,2,0,1,2,2,9,0,2,2,2,1
5093642,Andrei Shleifer,0,0,0,0,0,0,0,0,2,0,3,3,5,0,0,2,1,2,0,2,4,1,3,3,0,0
1742253,Jing Li,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,3,1,1,1,4,2,3,5,4,9,9
1843598,Jun Liu,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,0,2,1,2,1,0,2,1,8,5,5
1699746,Jie Liu,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,2,3,0,1,1,1,2,5,4,4,4
